Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Submitters,Release_Date,Isolate,Species,Length,Genotype,Protein,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
YP_010037478.1,Hipposideros pomona bat coronavirus CHB25,RefSeq,GCF_023141795.1,NC_054004,"Li,B., Si,H.R., Zhu,Y., Yang,X.L., Anderson,D.E., Shi,Z.L., Wang,L.F., Zhou,P.",2023-05-04,CHB0025,Alphacoronavirus CHB25,385,,nucleocapsid protein,China,,Hipposideros larvatus,,2018-03
YP_010037564.1,Tylonycteris bat coronavirus HKU33,RefSeq,GCF_023124615.1,NC_054015,"Lau,S.K.P., Wong,A.C.P., Zhang,L., Luk,H.K.H., Kwok,J.S.L., Ahmed,S.S., Cai,J.P., Zhao,P.S.H., Teng,J.L.L., Tsui,S.K.W., Yuen,K.Y., Woo,P.C.Y., Li,K.S.M., Cai,J.-P.",2023-05-04,,Alphacoronavirus HKU33,423,,nucleocapsid protein,China,,Tylonycteris robustula,feces,2015-09-09
YP_010115720.1,Bat alphacoronavirus,RefSeq,GCF_023148835.1,NC_055953,"Bergner,L., Orton,R., Streicker,D.",2023-05-04,AMA_L_F,Bat alphacoronavirus,401,,nucleocapsid protein,Peru,,Desmodus rotundus,,2015
YP_010799347.1,Bat alphacoronavirus,RefSeq,GCF_023122875.1,NC_076629,,2023-05-04,BtCoV/020_16/M.dau/FIN/2016,Bat alphacoronavirus,426,,nucleocapsid protein,Finland: Mustasaari,,Myotis daubentonii,feces,2016-08-28
YP_009825061.1,SARS coronavirus Tor2,RefSeq,GCF_000864885.1,NC_004718,"He,R., Dobie,F., Ballantine,M., Leeson,A., Li,Y., Bastien,N., Cutts,T., Andonov,A., Cao,J., Booth,T.F., Plummer,F.A., Tyler,S., Baker,L., Li,X.",2020-05-27,Tor2,Betacoronavirus pandemicum,422,,nucleocapsid protein,Canada: Toronto,,Homo sapiens,,
YP_009824977.1,Wencheng Sm shrew coronavirus,RefSeq,GCF_012271635.1,NC_048211,"Wang,W., Lin,X.D., Liao,Y., Guan,X.Q., Guo,W.P., Xing,J.G., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Zhang,Y.-Z.",2020-05-15,Xingguo-74,Wencheng Sm shrew coronavirus,366,,nucleocapsid protein,China,,Suncus murinus,,2015
YP_009824987.1,Murine hepatitis virus,RefSeq,GCF_003971785.1,NC_048217,"Sawicki,S.G., Sawicki,D.L., Younker,D., Meyer,Y., Thiel,V., Stokes,H., Siddell,S.G., Coley,S.E., Lavi,E., Fu,L., Schelle,B., Karl,N.",2020-05-15,,Murine coronavirus,454,,nucleocapsid protein,,,,,
YP_009825005.1,Infectious bronchitis virus,RefSeq,GCF_012271575.1,NC_048213,"Senthil Kumar,V., Raja,A., Vijayarani,K., Roy,P.",2020-05-15,Ind-TN92-03,Avian coronavirus,409,,nucleocapsid protein,India,,Gallus gallus,kidney,2003
YP_009825016.1,Duck coronavirus,RefSeq,GCF_012271565.1,NC_048214,"Zhuang,Q.Y., Wang,K.C., Liu,S., Hou,G.Y., Jiang,W.M., Wang,S.C., Li,J.P., Yu,J.M., Chen,J.M., Zhuang,Q., Wang,K., Hou,G., Jiang,W., Wang,S., Li,J., Yu,J., Chen,J.",2020-05-15,DK/GD/27/2014,Avian coronavirus,414,,nucleocapsid protein,China,,Anatidae,,2014
YP_009755837.1,Rodent coronavirus,RefSeq,GCF_012271615.1,NC_046954,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2020-04-12,RtMruf-CoV-2/JL2014,Rodent coronavirus,451,,nucleocapsid protein,China,,Myodes rufocanus,,2014-08
YP_009755842.1,Shrew coronavirus,RefSeq,GCF_012271625.1,NC_046955,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2020-04-12,Shrew-CoV/Tibet2014,Shrew coronavirus,401,,nucleocapsid protein,China,,Sorex araneus,,2014-12
YP_009755894.1,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015,RefSeq,GCF_012271735.1,NC_046964,"De Sabato,L., Lelli,D., Faccin,F., Canziani,S., Di Bartolo,I., Vaccari,G., Moreno,A.",2020-04-12,,Pipistrellus kuhlii coronavirus 3398,432,,nucleocapsid protein,Italy,,Pipistrellus kuhlii,feces,2015
YP_009755908.1,Canada goose coronavirus,RefSeq,GCF_012271745.1,NC_046965,"Papineau,A., Berhane,Y., Wylie,T.N., Wylie,K.M., Sharpe,S., Lung,O., Wylie,T., Wylie,K.",2020-04-12,,Canada goose coronavirus,414,,nucleocapsid protein,Canada,,Branta canadensis,feces,2017-08
YP_009724397.2,Severe acute respiratory syndrome coronavirus 2,RefSeq,GCF_009858895.2,NC_045512,"Wu,F., Zhao,S., Yu,B., Chen,Y.M., Wang,W., Song,Z.G., Hu,Y., Tao,Z.W., Tian,J.H., Pei,Y.Y., Yuan,M.L., Zhang,Y.L., Dai,F.H., Liu,Y., Wang,Q.M., Zheng,J.J., Xu,L., Holmes,E.C., Zhang,Y.Z., Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Chen,Y.-M., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Zhang,Y.-L., Dai,F.-H., Wang,Q.-M., Zheng,J.-J., Zhang,Y.-Z.",2020-01-13,Wuhan-Hu-1,Betacoronavirus pandemicum,419,,nucleocapsid phosphoprotein,China,,Homo sapiens,,2019-12
YP_009555245.1,Human coronavirus OC43,RefSeq,GCF_003972325.1,NC_006213,"St-Jean,J.R., Jacomy,H., Desforges,M., Vabret,A., Freymuth,F., Talbot,P.J.",2019-02-21,,Betacoronavirus 1,448,OC43,nucleocapsid protein,USA,,,,
YP_002308483.1,Bulbul coronavirus HKU11-934,RefSeq,GCF_002816215.1,NC_011547,"Woo,P.C., Lau,S.K., Lam,C.S., Lai,K.K., Huang,Y., Lee,P., Luk,G.S., Dyrting,K.C., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Lam,C.S.F., Lai,K.K.Y., Luk,G.",2018-08-24,,Bulbul coronavirus HKU11,349,,nucleocapsid phosphoprotein,Hong Kong,,Pycnonotus jocosus,,2007-01
YP_009513018.1,Betacoronavirus Erinaceus/VMC/DEU/2012,RefSeq,GCF_002816175.1,NC_039207,"Corman,V.M., Kallies,R., Philipps,H., Gopner,G., Muller,M.A., Eckerle,I., Brunink,S., Drosten,C., Drexler,J.F.",2018-08-24,ErinaceusCoV/2012-174/GER/2012,Hedgehog coronavirus 1,424,,nucleocapsid protein,Germany,,Erinaceus europaeus,feces,2012
YP_009513025.1,Porcine coronavirus HKU15,RefSeq,GCF_002816235.1,NC_039208,"Woo,P.C., Lau,S.K., Lam,C.S., Lau,C.C., Tsang,A.K., Lau,J.H., Bai,R., Teng,J.L., Tsang,C.C., Wang,M., Zheng,B.J., Chan,K.H., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Lam,C.S.F., Lau,C.C.Y., Tsang,A.K.L., Lau,J.H.N., Teng,J.L.L., Tsang,C.C.C., Zheng,B.-J., Chan,K.-H., Yuen,K.-Y.",2018-08-24,,Coronavirus HKU15,342,,nucleocapsid protein,China: Hong Kong,,Sus scrofa,,2010
YP_009389428.1,Wencheng Sm shrew coronavirus,RefSeq,GCF_002219865.1,NC_035191,"Wang,W., Lin,X.D., Liao,Y., Guan,X.Q., Guo,W.P., Xing,J.G., Holmes,E.C., Zhang,Y.Z., Lin,X.-D., Zhang,Y.-Z.",2017-07-14,Xingguo-101,Wencheng Sm shrew coronavirus,366,,nucleocapsid protein,China,,Suncus murinus,,2015
YP_009380526.1,Coronavirus AcCoV-JC34,RefSeq,GCF_002194405.1,NC_034972,"Ge,X.Y., Yang,W.H., Zhou,J.H., Li,B., Zhang,W., Shi,Z.L., Zhang,Y.Z., Ge,X.-Y., Zhang,Y.-Z., Yang,W.-H., Zhou,J.-H., Shi,Z.-L.",2017-06-13,AcCoV-JC34,Coronavirus AcCoV-JC34,389,,nucleocapsid protein,China,,Apodemus chevrieri,,2011-10
YP_009361864.1,Bat coronavirus,RefSeq,GCF_002118885.1,NC_034440,"Anthony,S.J., Gilardi,K., Menachery,V.D., Goldstein,T., Ssebide,B., Mbabazi,R., Navarrete-Macias,I., Liang,E., Wells,H., Hicks,A., Petrosov,A., Byarugaba,D.K., Debbink,K., Dinnon,K.H., Scobey,T., Randell,S.H., Yount,B.L., Cranfield,M., Johnson,C.K., Baric,R.S., Lipkin,W.I., Mazet,J.A., Gilardi,K.V., Wells,H.L., Hicks,A.L., Byarugaba,D., Mazet,J.K.",2017-05-05,PREDICT/PDF-2180,Bat coronavirus,415,,nucleocapsid phosphoprotein,Uganda,,Pipistrellus,feces,2013-02-20
YP_009336487.1,Lucheng Rn rat coronavirus,RefSeq,GCF_001962315.1,NC_032730,"Lin,X.D., Wang,W., Hao,Z.Y., Wang,Z.X., Guo,W.P., Guan,X.Q., Wang,M.R., Wang,H.W., Zhou,R.H., Li,M.H., Tang,G.P., Wu,J., Holmes,E.C., Zhang,Y.Z., Wang,C.Q., Ge,S., Mei,S.H., Shi,M., Lin,X.-D., Zhou,R.-H., Guo,W.-P., Zhang,Y.-Z.",2017-01-17,Lucheng-19,Lucheng Rn rat coronavirus,391,,nucleocapsid protein,China,,Rattus norvegicus,,2013
YP_009273009.1,Rousettus bat coronavirus,RefSeq,GCF_001725835.1,NC_030886,"Obameso,J.O., Li,H., Jia,H., Han,M., Zhu,S., Huang,C., Zhao,Y., Zhao,M., Bai,Y., Yuan,F., Zhao,H., Peng,X., Xu,W., Tan,W., Yuen,K.Y., Liu,W.J., Lu,L., Gao,G.F., Jin,T., Song,J., Shi,Y., Ji,W., Zhou,Y., Wen,H., Liu,H., Wang,Q., Wu,Y., Wang,L., Liu,D., Liu,G., Yu,H., Holmes,E.C., Liu,J., Holmes,E.",2016-09-12,GCCDC1 356,Rousettus bat coronavirus GCCDC1,443,,nucleocapsid protein,China,,Rousettus leschenaultii,feces,2014-05-28
YP_009256201.1,Ferret coronavirus,RefSeq,GCF_001661775.1,NC_030292,"Lamers,M.M., Smits,S.L., Hundie,G.B., Provacia,L.B., Koopmans,M., Osterhaus,A.D.M.E., Haagmans,B.L., Raj,V.S., Stalin Raj,V., Provacia,L.B.V.",2016-06-10,FRCoV-NL-2010,Ferret coronavirus,375,,nucleocapsid protein,Netherlands,,Mustela putorius,,2010
YP_009194643.1,Camel alphacoronavirus,RefSeq,GCF_001500975.1,NC_028752,"Sabir,J.S., Lam,T.T., Ahmed,M.M., Li,L., Shen,Y., Abo-Aba,S.E., Qureshi,M.I., Abu-Zeid,M., Zhang,Y., Khiyami,M.A., Alharbi,N.S., Hajrah,N.H., Sabir,M.J., Mutwakil,M.H., Kabli,S.A., Alsulaimany,F.A., Obaid,A.Y., Zhou,B., Smith,D.K., Holmes,E.C., Zhu,H., Guan,Y., Sabir,J.S.M., Lam,T.Y., AboAba,S., Abu-Zaid,M., Mutwakil,M.H.Z., Alsulaimany,F.A.S.",2016-01-05,camel/Riyadh/Ry141/2015,Human coronavirus 229E,382,,nucleocapsid protein,Saudi Arabia,,Camelus,,2015-03
YP_009199613.1,BtMr-AlphaCoV/SAX2011,RefSeq,GCF_001503155.1,NC_028811,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2016-01-05,BtMr-SAX2011,Myotis ricketti alphacoronavirus Sax-2011,429,,nucleocapsid protein,China,,Myotis ricketti,,2011
YP_009199794.1,BtRf-AlphaCoV/HuB2013,RefSeq,GCF_001504755.1,NC_028814,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2016-01-05,BtRf-HuB2013,Rhinolophus ferrumequinum alphacoronavirus HuB-2013,383,,nucleocapsid protein,China,,Rhinolophus ferrumequinum,,2013
YP_009200739.1,BtRf-AlphaCoV/YN2012,RefSeq,GCF_001501755.1,NC_028824,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2016-01-05,BtRf-YN2012,BtRf-AlphaCoV/YN2012,375,,nucleocapsid protein,China,,Rhinolophus ferrumequinum,,2012
YP_009201734.1,BtNv-AlphaCoV/SC2013,RefSeq,GCF_001505415.1,NC_028833,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2016-01-05,BtNv-SC2013,Nyctalus velutinus alphacoronavirus SC-2013,431,,nucleocapsid protein,China,,Nyctalus velutinus,,2013
YP_009113031.1,Betacoronavirus HKU24,RefSeq,GCF_000930095.1,NC_026011,"Lau,S.K., Woo,P.C., Li,K.S., Tsang,A.K., Fan,R.Y., Luk,H.K., Cai,J.P., Chan,K.H., Zheng,B.J., Wang,M., Yuen,K.Y., Lau,S.K.P., Woo,P.C.Y., Li,K.S.M., Tsang,A.K.L., Fan,R.Y.Y., Luk,H.K.H., Cai,J.-P., Chan,K.-H., Yuen,K.-Y.",2015-01-07,,China Rattus coronavirus HKU24,443,,nucleocapsid protein,China,,Rattus norvegicus,,2012-05-17
YP_009072446.1,Bat Hp-betacoronavirus/Zhejiang2013,RefSeq,GCF_000926915.1,NC_025217,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.",2014-10-03,Zhejiang2013,Bat Hp-betacoronavirus Zhejiang2013,418,,nucleocapsid protein,China,,Hipposideros pratti,,2013-04-29
YP_009047211.1,Middle East respiratory syndrome-related coronavirus,RefSeq,GCF_000901155.1,NC_019843,"Zaki,A.M., van Boheemen,S., Bestebroer,T.M., Osterhaus,A.D., Fouchier,R.A., de Graaf,M., Lauber,C., Raj,V.S., Haagmans,B.L., Gorbalenya,A.E., Snijder,E.J., Victor,S.R., Osterhaus,A.D.M.E., Fouchier,R.A.M.",2014-07-23,HCoV-EMC/2012,Middle East respiratory syndrome-related coronavirus,413,,nucleocapsid protein,,,Homo sapiens,,2012-06-13
